LAD,Total number of titles in the same Local Authority District,Presumed independent,Tindle Newspapers Ltd,DC Thomson & Company Limited,Newsquest PLC,Reach PLC,Waypride Ltd,National World,Heads (Congleton),Belfast Media Group,DNG Online Limited,Bullivant Media Ltd,Wyvex Media Ltd,Iliffe Media,Acredula Group,Independent News and Media Ltd,Cheadle and Tean Times Ltd,Midland News Association,New Journal Enterprises Ltd,Herald News International,Street Runners Ltd,City Publishing Ltd,Barrnon Media,Regional Media Ltd,Argyll Media,Independent,GH Smith & Son Ltd,Gateway Newspapers Ltd,Chronicle Publications Limited,Hampshire Media Ltd,Higgs Group,Holderness Newspaper Limited,Baylis Media Ltd,Credible Media,Quest Media Network Ltd,The Shetland Times Limited,Southwark News Ltd,The St Ives Printing and Publishing Company Ltd,Stair Estates,Peter Masters,Teesdale Mercury Ltd,Orkney Media Group,The Press News Limited,One Media and Creative UK Ltd,The Wokingham Paper Ltd,West Highland Publishing Company Limited,Standish Media Services Ltd,Woking News and Mail Ltd,Cyfryngau Cymru Cyf,Newshound Media Limited,Your Local Paper Ltd,NA,Publication,Owner,Postcode,id,Website,Cost,Launch,Frequency,Twitter handle,OBJECTID,LAD22CD,BNG_E,BNG_N,LONG,LAT,SHAPE_Length,SHAPE_Area
Aberdeen City,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aberdeen Citizen,DC Thomson & Company Limited,AB15 6DF,mrc2021; ramsay,http://www.aberdeencitizen.co.uk/,free,NA,weekly,pressjournal,339,S12000033,387763,808479,-2.20398,57.166969,98933.040938299,205588277.323871
Aberdeenshire,13,1,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Banffshire Journal,Iliffe Media,AB45 1GE,abc; htfp_database; ipso; jicreg; lmw; mrc2021; ramsay,http://www.banffshire-journal.co.uk; /tag/banffshire-journal/; https://www.grampianonline.co.uk/buckie/; http://www.banffshire-journal.co.uk/Home/,paid,11/12/2019,weekly,NA,340,S12000034,352284,816277,-2.7920799,57.234692,791859.815926895,6338657613.85259
Adur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,E07000223,518076,106472,-0.32416999,50.845718,35423.6351238714,43647956.2359693
Allerdale,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Times & Star (West Cumberland),Newsquest PLC,CA14 2AN,mrc2021; ramsay,http://www.timesandstar.co.uk/,paid,NA,weekly,timesandstar,65,E07000026,317520,532997,-3.2809,54.685242,241279.452204251,1320568294.90522
Amber Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,E07000032,436166,348084,-1.46219,53.028839,109015.606044318,265437895.570174
Angus,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Guide & Gazette (Angus),National World,DD11 1HR,mrc2021; ramsay,http://www.guideandgazette.co.uk/,paid,NA,weekly,anguscpress,346,S12000041,345506,759636,-2.8921001,56.725182,311883.319088679,2202448073.03495
Antrim and Newtownabbey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,N09000001,130813,541285,-6.1775999,54.693859,165066.961090158,728186534.011934
Ards and North Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,N09000011,164321,524944,-5.64568,54.564091,203349.301102072,566472991.274504
Argyll and Bute,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Argyllshire Advertiser,Wyvex Media Ltd,PA31 8NB,ipso; lmw; mrc2021; ramsay,https://www.argyllshireadvertiser.co.uk; http://www.argyllshireadvertiser.co.uk/,paid,NA,weekly,argyllshireadve,341,S12000035,200740,715443,-5.2211399,56.28944,3638663.64261861,7166073871.16255
"Armagh City, Banbridge and Craigavon",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Armagh I,Presumed independent,NA,cj4; htfp_database; impress,https://www.armaghi.com; https://www.armaghi.com/,NA,NA,NA,armaghi,311,N09000002,112110,508158,-6.4345498,54.3867,242954.33539518,1437068573.07739
Arun,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bognor Regis Observer,National World,PO21 1BJ,ipso; lmw; mrc2021; ramsay,http://www.bognor.co.uk; http://www.bognor.co.uk/,paid,NA,weekly,Sussex_World,222,E07000224,495144,105723,-0.64999002,50.843208,115961.388448804,224703265.774671
Ashfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,E07000170,450035,355843,-1.25422,53.097469,69168.0549787648,109557954.123823
Ashford,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Folkestone & Hythe Express,Iliffe Media,TN24 8JR,abc; illiffe; mrc2021; ramsay,http://www.kentonline.co.uk/folkestone/,paid,NA,weekly,FHExpress,127,E07000105,597640,140644,0.82337397,51.130959,149444.582577307,580617311.896739
Babergh,5,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Attleborough Mercury,Newsquest PLC,IP22 4AD,mrc2021; ramsay,http://www.dissmercury.co.uk/home,free,NA,weekly,derehamtimes,202,E07000200,599987,244692,0.91614902,52.064499,171552.297348285,611604139.496087
