Action,Title,URL,Add / Add but modify / not add - comments,Comments,Twitter
A,Acton W3,www.ActonW3.com,,,
A,Alsager Nub News,https://alsager.nub.news/,,,
A,Ashby Nub News,https://ashby.nub.news/,,,
A,Axminster Nub News,https://axminster.nub.news/,,,
A,Ballymoney Bubble,www.ballymoneybubble.co.uk,,Who owns them? Pops media?,
A,Basildon Nub News,https://basildon.nub.news/,,,
A,Basingstoke Observer,https://www.basingstokeobserver.co.uk/,,,
A,Bath Echo,www.bathecho.co.uk,,,
A,Battersea Nub News,https://battersea.nub.news/,,,
A,Belfast Live,https://www.belfastlive.co.uk/,,,
A,Biddulph Nub News,https://biddulph.nub.news/,,,
A,Bishop Press,swd.news,Rename South West Durham News,,
A,Bishopston Voice,www.bishopstonvoice.co.uk,,,
A,Blog Preston,www.blogpreston.co.uk,,,
A,Bradley Stoke Journal,www.bradleystokejournal.co.uk,,,TheBSJournal
A,Bramhall Post,https://communitynewsgm.co.uk/about-the-newspapers/bramhall-post/,,,
A,Brentford Nub News,https://brentford.nub.news/,,,
A,Brentwood Live,https://www.brentwoodlive.co.uk/,,,
A,Bridlington Echo,bridlingtonecho.co.uk,,,
A,Bridport Nub News,https://bridport.nub.news/,,,
A,Bromsgrove Standard,https://bromsgrovestandard.co.uk/,,,
A,Broxburn and Uphall Community Website,www.broxburnanduphall.com,,,
A,Burnham and Dengie Nub News,https://burnhamanddengie.nub.news/,,,
A,C&B News,https://candbnews.com/,,,
A,Camden Citizen,www.camdencitizen.co.uk,,,
A,Carmarthenshire Standard,carmarthenshirestandard.com,,,
A,Central Bylines,https://centralbylines.co.uk,,,
A,Cheadle Post,https://communitynewsgm.co.uk/cheadle-post/,,,
A,Cheddar Nub News,https://cheddar.nub.news/,,,
A,Chelmsford & Mid Essex Times,http://www.chelmsfordweeklynews.co.uk/,,,
A,Cheshire Live,https://www.cheshire-live.co.uk/,,,
A,Chiswick W4,www.ChiswickW4.com,,,
A,Chorlton Post,https://communitynewsgm.co.uk/about-the-newspapers/chorlton-post/,,,
A,Clapham Nub News,https://clapham.nub.news/,,Clapham lies across 2 LADs,
A,Coalville Nub News,https://coalville.nub.news/,,,
A,Congleton Nub News,https://congleton.nub.news/,,,
A,Cowbridge Nub News,https://cowbridge.nub.news/,,,
A,Crewe Nub News,https://www.crewe.nub.news/,,,
A,Cwmbran Life,www.cwmbranlife.co.uk,,,
A,Dorset Biz News,www.dorsetbiznews.co.uk,,,
A,Dorset Eye,dorseteye.com,,,
A,Driffield and Wolds Weekly,woldsweekly.co.uk,,,
A,Ealing Nub News,https://ealing.nub.news/,,,
A,East Anglia Bylines,https://eastangliabylines.co.uk/,,,
A,East Durham Life,www.hartlepoollife.co.uk/category/east-durham-life,,,
A,East Kilbride Connect,https://www.eastkilbrideconnect.co.uk/,,,
A,East London Advertiser,https://www.eastlondonadvertiser.co.uk/,,Same as above 'Docklands and East London Advertiser,
A,Eco's Wyddfa,ecorwyddfa.co.uk,,,
A,Edinburgh Live,https://www.edinburghlive.co.uk/,add twitter @EdinburghLive_,,EdinburghLive_
A,Emersons Green Voice,www.emersonsgreenvoice.co.uk,,,
A,Erdington Local,http://www.erdingtonlocal.com/,,,
A,Essentials Mag,www.essentialsmag.co.uk,,,
A,Essex Live,https://www.essexlive.news/,,Online site for Essex Chronicle,
A,Exmouth Nub News,https://exmouth.nub.news/,,,
A,Falmouth Nub News,https://falmouth.nub.news/,,,
A,Felixstowe Nub News,https://felixstowe.nub.news/,,,
A,Fishponds Voice,www.fishpondsvoice.co.uk,,,
A,Formby Reporter,www.formby-reporter.com,,News email service that is part of Mersyside repoerter,
A,Forres Local,forreslocal.com,,,
A,Free Press Series,https://www.freepressseries.co.uk/,,See Abergavenny free press for details,
A,Frodsham Nub News,https://frodsham.nub.news/,,,
A,Frome Nub News,https://frome.nub.news/,,,
A,Fulham SW6,www.ealingtoday.co.uk,,,
A,Get Surrey,http://www.getsurrey.co.uk/,,Website domain for Surrey advertiser,
A,Glamorgan Star,https://glamorganstar.co.uk,,,
A,Glasgow Evening Times,https://www.glasgowtimes.co.uk/,,,
A,Glasgow Live,https://www.glasgowlive.co.uk/,,,
A,Glastonbury Nub News,https://glastonbury.nub.news/,,,
A,Glossop Chronicle,www.questmedianetwork.co.uk,,,
A,Gloucester Citizen,https://www.gloucestershirelive.co.uk/,twitter GlosLiveOnline,,GlosLiveOnline
A,Gloucestershire Live,https://www.gloucestershirelive.co.uk/,twitter GlosLiveOnline,Online news site for the Citizen and Echo,GlosLiveOnline
A,Grampian Online,https://www.grampianonline.co.uk/,,,
A,Grange Now,nowmags.co.uk/grange-now,,,
A,Grangetown Cardiff,grangetowncardiff.co.uk,,Not many recent posts and I don't think it's incorporated,
A,Great Barr Gazette,www.pioneermagazines.co.uk,,,
A,Greenwich Weekender,https://southwarknews.co.uk/category/greenwich-weekender/,,,
A,Hadleigh Nub News,https://hadleigh.nub.news/,,,
A,Hailsham News and Talk,https://hailsham.news/,changed url,,
A,Hammersmith Today,https://www.hammersmithtoday.co.uk/#home,,,
A,Hampshire Live,https://www.hampshirelive.news/,,,
A,Hanham and Longwell Green Voice,www.hanhamandlongwellgreenvoice.co.uk,,,
A,Harrow Leader,,,,
A,Hastings Online Times,hastingsonlinetimes.co.uk,,,
A,Helston Nub News,https://helston.nub.news/,,,
A,Henleaze & Westbury Voice,https://www.henleazeandwestburyvoice.co.uk/,,,
A,Herald Series,https://www.heraldseries.co.uk/,,,
A,Herts Live,https://www.hertfordshiremercury.co.uk/,,Online platform for local Reach PLC outlets,
A,Heswall Nub News,https://heswall.nub.news/,,,
A,Hitchin Nub News,https://hitchin.nub.news/,,,
A,Honiton Nub News,https://honiton.nub.news/,,,
A,Hucknall Nub News,https://hucknall.nub.news/,,,
A,I Choose Birmingham,https://ichoosebirmingham.com/about,,,
A,In Common,www.in-common.co.uk,,,
A,In Cumbria,https://www.in-cumbria.com/,,,
A,Isle of Man Courier,https://www.iomtoday.co.im/,,,
A,Isle of Man Examiner,https://www.iomtoday.co.im/,,,
A,Isle of Man Today,https://www.iomtoday.co.im/,,This is just the online wesite for 3 local Tindle Newspapers Ltd titles - don't map,
A,Isle of Wight Observer,iwobserver.co.uk,,,
A,Islington Citizen,islingtoncitizen.co.uk,,,
A,Jesmond Local,jesmondlocal.com,,,
A,Kenilworth Nub News,https://kenilworth.nub.news/,,,
A,Kensington & Chelsea Times,https://www.kctimes.co.uk/,,,
A,Kent Bylines,kentbylines.co.uk,,,
A,Kent Live,https://www.kentlive.news/,,Online website for range of kent-based publications,
A,Kent Online,http://www.kentonline.co.uk/,,Online website for range of kent-based publications,
A,"Kerryman, The",https://subscribe.independent.ie/kerryman/,add twitter @kerryman_ie,Irish,
A,Keynsham Voice,www.keynshamvoice.co.uk,,,
A,Kingston Nub News,https://kingston.nub.news/,,,
A,Kingswood Voice,www.kingswoodvoice.co.uk,,,
A,Kyle Chronicle,kylechronicle.co.uk,,,
A,Lancing Herald,https://www.sussexexpress.co.uk/,,,
A,Lancs Live,https://www.lancs.live/,,,
A,Leeds Live,https://www.leeds-live.co.uk/,,,
A,Leek and Moorlands Echo,https://www.timesechoandlife.co.uk/publication/blythe-forsbrook-times/,,,
A,Leek Nub News,https://leek.nub.news/,,,
A,Leicester Stories,leicesterstories.uk,,Enough regularity to articles?,
A,Letchworth Nub News,https://letchworth.nub.news/,,,
A,Leveller [Somerset],https://leveller.live/,twitter @levellerlive,,levellerlive
A,Lewes and South Coast Argus,,will this be counted in PINF final directory?,Details under The Brighton Argus,
A,Lincolnshire Live,https://www.lincolnshirelive.co.uk/,,Online website for Lincolnshire Echo and others,
A,Llafar Bro,llafar-bro.blogspot.com,,,
A,Llais Cwmtawe,papurbrollais.cymru,twitter @PapurBroLlais,,
A,Llais Ogwen,www.llaisogwan.com,,,
A,Llandudno Nub News,llandudno.nub.news,,,
A,Llanelli Standard,https://llanellistandard.com/,,,
A,Mablethorpe and Sutton on Sea Leader,https://www.lincolnshireworld.com,,,
A,Macclesfield Nub News,https://macclesfield.nub.news/,,,
A,Maidstone News,https://www.kentonline.co.uk/maidstone/,,,
A,"Mail, The (Cumbria)",https://www.nwemail.co.uk,,,
A,Maldon and Burnham Standard,https://www.maldonandburnhamstandard.co.uk/,,,
A,Maldon Nub News,https://maldon.nub.news/,,,
A,Manchester Meteor,themeteor.org,,,
A,Margate Mercury,www.margatemercury.com,,,
A,Market Harborough Mail,,,Details above under 'Harborough Mail',
A,Marlborough News,marlborough.news,,,
A,Mayo Advertiser,,,Irish,
A,Mayorwatch,www.mayorwatch.co.uk,,,
A,Mersey Reporter,www.merseyreporter.com,,,
A,Mid Devon Advertiser,https://www.middevonadvertiser.co.uk/,,,
A,Mid Devon Gazette,https://www.devonlive.com/,,,
A,Mid Devon Gazette (Tiverton Gazette),https://www.devonlive.com,,,
A,Midsomer Norton Nub News,https://midsomernorton.nub.news/,,,
A,Musselburgh News,,,,
A,My London,https://www.mylondon.news/,,,
A,My Soho Times,mysohotimes.co.uk,,,
A,Network Norfolk,www.networknorwich.co.uk,,,
A,New Ross Standard,,,Irish,
A,Newent Forester,,,,
A,News Shopper,https://www.newsshopper.co.uk/,,News Shopper is title or a series of papers,
A,North East Bylines,https://northeastbylines.co.uk/,,,
A,North West Evening Mail (The Mail),https://www.nwemail.co.uk,,,
A,Northants Live,https://www.northantslive.news,,,
A,Norwich Radical,https://thenorwichradical.com,,,
A,Now Then Magazine - Sheffield,nowthenmagazine.com,,,
A,Oakham Nub News,https://oakham.nub.news/,,,
A,On The Wight,onthewight.com,,,
A,"Orcadian, The",https://www.orcadian.co.uk,,,
A,Orkney News Ltd,https://www.orcadian.co.uk,,,
A,Papur Bro Clonc,https://clonc.360.cymru/aelod/papurbroclonc,,,
A,Papur bro Llais,https://papurbrollais.cymru/english/,,,
A,Papur Fama,https://www.facebook.com/papurfama/,,,
A,Papur Menau,https://twitter.com/papur_menai?lang=en,,,
A,Papur Pawb,http://papurpawb.com,,,
A,Penarth Nub News,https://penarth.nub.news/,,Straddles 2 LADS,
A,Perth Gazette,https://perthgazette.co.uk,,"They say they are regulated by IMPRESS but not listed on website, also can't find registered address",
A,Peterborough Matters,https://www.peterboroughmatters.co.uk,,,
A,Pink ‘Un,https://www.pinkun.com,,,
A,Plymouth Chronicle,www.plymouthchronicle.co.uk,,,
A,Plymouth Herald,https://www.plymouthherald.co.uk/,,,
A,Plymouth Live,https://www.plymouthherald.co.uk/,,Online platform for Plymouth Herald,
A,Portsmouth News,https://www.portsmouth.co.uk,,,
A,PRSD (People's Republic of South Devon),www.theprsd.co.uk,,,
A,Putney SW15,http://www.putneysw15.com/,,,
A,Radstock Nub News,https://radstock.nub.news/,,,
A,Ramsgate Recorder,www.ramsgaterecorder.com,,,
A,Redhill And Reigate Life,https://www.redhillandreigatelife.co.uk,,,
A,Reigate.uk,reigate.uk,,,
A,Richmond Nub News,https://richmond.nub.news/,,,
A,Sandbach Nub News,https://sandbach.nub.news/,,,
A,Seaton Nub News,https://seaton.nub.news/,,,
A,"Shaw, Crompton and Royton Correspondent",https://www.shawandroytoncorrespondent.co.uk,,,
A,Shepherds Bush W12,https://www.shepherdsbushw12.com/#home,,,
A,Shepton Mallet Journal (Mid Somerset Series),,,Mid Somerset Gazette details above,
A,Shepton Mallet Nub News,https://sheptonmallet.nub.news/,,,
A,Shotley Peninsula Nub News,https://shotleypeninsula.nub.news/,,,
A,Shropshire Live,https://www.shropshirelive.com,,,
A,"Sligo Champion, The",,,Irish,
A,So Bedfordshire,,,Forthcoming,
A,So Berkshire,,,Forthcoming,
A,So Buckinghams,,,Forthcoming,
A,So Buckinghamshire,,,Forthcoming,
A,So Cambridgeshire,,,Forthcoming,
A,So Cheshire,https://www.so-counties.co.uk/tag/cheshire/,,,
A,So Derbyshire,https://www.so-counties.co.uk/tag/derbyshire/,,,
A,So Gloucestershire,,,Forthcoming,
A,So Hampshire,,,Forthcoming,
A,So Herefordshire,,,Forthcoming,
A,So Hertfordshire,,,Forthcoming,
A,So Lancashire,,,Forthcoming,
A,So Leicestershire,,,Forthcoming,
A,So Lincolnshire,,,Forthcoming,
A,So Northamptonshire,,,Forthcoming,
A,So Nottinghamshire,,,Forthcoming,
A,So Oxfordshire,,,Forthcoming,
A,So Shropshire,https://www.so-counties.co.uk/tag/shropshire/,,,
A,So Staffordshire,https://www.so-counties.co.uk/tag/staffordshire/,,,
A,So Warwickshire,,,Forthcoming,
A,So Wiltshire,,,Forthcoming,
A,So Worcestershire,,,Forthcoming,
A,So Yorkshire,,,Forthcoming,
A,SoGlos,,,Forthcoming,
A,Somerset Live,https://www.somersetlive.co.uk/,,Online platform for various publications,
A,South Hams Gazette,https://www.southhams-today.co.uk/,,,
A,Southport Reporter,www.merseyreporter.com,,,
A,Spalding Today,http://www.spaldingtoday.co.uk/,,Online site for Spalding Guardian and Lincolnshire Free Press,
A,St Albans Nub News,https://stalbans.nub.news/,,,
A,Stamford Nub News,https://stamford.nub.news/,,,
A,Stockton and Billingham Life,www.hartlepoollife.co.uk,,,
A,Stoke Nub News,https://stoke.nub.news/,,,
A,Stoke-on-Trent Live,https://www.stokesentinel.co.uk/,,Online platform for The Sentinel,
A,Stretford and Urmston Messenger,https://www.messengernewspapers.co.uk/,,,
A,Suffolk News,https://www.suffolkfreepress.co.uk/,,,
A,Sunday Life (Belfast),,needs adding?,Details above under Belfast Telegraph,
A,Sunday Mercury (Birmingham),https://www.birminghammail.co.uk,,,
A,Sunday Post (Dundee),https://www.sundaypost.com,,,
A,Sunday World,,,Irish,
A,Sussex Bylines,sussexbylines.co.uk,,,
A,Sussex Live,,,Online platform for numerous local outlets - do we want to map these?,
A,Sussex Living,www.sussexliving.com,,,
A,Sussex Local Magazine,sussexlocal.net,,,
A,Swansea Standard,swanseastandard.com,,,
A,Tafod Elai,www.tafodelai.cymru,,,
A,Teddington Nub News,https://teddington.nub.news/,,,
A,Teesside – Evening Gazette,https://www.gazettelive.co.uk,,,
A,Teesside Live,https://www.gazettelive.co.uk/,,Online platform for other Reach PLC titles,
A,The Barnes Village Bugle,www.barnesvillagebugle.co.uk,,,
A,The Bellman,www.thebellman.co.uk,,,
A,The Broadstairs Beacon,www.margatemercury.com,,,
A,The Devon Week,thedevonweek.newsandmediarepublic.org,,,
