LAD,Owner,tot_LAD,tot_owner_lad,perc_owner_lad
Greenwich,Presumed independent,2,2,100
Monmouthshire,Tindle Newspapers Ltd,3,3,100
Clackmannanshire,Newsquest PLC,2,2,100
East Hampshire,Tindle Newspapers Ltd,11,11,100
Waverley,Tindle Newspapers Ltd,5,5,100
Test Valley,Newsquest PLC,2,2,100
Derbyshire Dales,Reach PLC,1,1,100
Folkestone and Hythe,Reach PLC,6,6,100
Lisburn and Castlereagh,National World,4,4,100
Cherwell,National World,1,1,100
Moray,Iliffe Media,4,4,100
Barnet,Tindle Newspapers Ltd,5,5,100
Burnley,National World,5,5,100
Barnsley,Acredula Group,2,2,100
West Dunbartonshire,Newsquest PLC,6,6,100
Barrow-in-Furness,Newsquest PLC,2,2,100
Newport,Newsquest PLC,5,5,100
Basingstoke and Deane,Newsquest PLC,2,2,100
Lancaster,National World,4,4,100
Worcester,Newsquest PLC,5,5,100
Newark and Sherwood,Iliffe Media,3,3,100
East Dunbartonshire,National World,4,4,100
Eastleigh,Presumed independent,1,1,100
Perth and Kinross,Reach PLC,3,3,100
Falkirk,National World,4,4,100
Arun,National World,1,1,100
Watford,Newsquest PLC,14,14,100
South Kesteven,Iliffe Media,4,4,100
"Bournemouth, Christchurch and Poole",Newsquest PLC,4,4,100
Hounslow,Presumed independent,2,2,100
Chelmsford,Reach PLC,7,7,100
Thurrock,Newsquest PLC,3,3,100
Sedgemoor,Newsquest PLC,2,2,100
Scarborough,National World,4,4,100
Calderdale,National World,3,3,100
East Staffordshire,Reach PLC,2,2,100
High Peak,National World,1,1,100
Caerphilly,Presumed independent,1,1,100
Tamworth,Reach PLC,2,2,100
Chichester,National World,2,2,100
Blackburn with Darwen,Newsquest PLC,3,3,100
Preston,National World,5,5,100
Wolverhampton,Midland News Association,6,6,100
Sandwell,Midland News Association,2,2,100
Tendring,Newsquest PLC,4,4,100
Ribble Valley,National World,1,1,100
Colchester,Newsquest PLC,2,2,100
Cotswold,Newsquest PLC,3,3,100
Dundee City,DC Thomson & Company Limited,2,2,100
Coventry,Reach PLC,1,1,100
Craven,Newsquest PLC,3,3,100
Wealden,Presumed independent,3,3,100
Reigate and Banstead,Reach PLC,4,4,100
East Ayrshire,Newsquest PLC,1,1,100
Conwy,Reach PLC,3,3,100
Gravesham,Iliffe Media,3,3,100
South Hams,Tindle Newspapers Ltd,4,4,100
Chesterfield,National World,2,2,100
Dover,Iliffe Media,2,2,100
Redditch,Bullivant Media Ltd,6,6,100
East Cambridgeshire,Newsquest PLC,1,1,100
Islington,Independent,1,1,100
Ealing,Presumed independent,1,1,100
Middlesbrough,Reach PLC,4,4,100
West Devon,Tindle Newspapers Ltd,4,4,100
Carlisle,Newsquest PLC,4,4,100
East Lothian,Newsquest PLC,1,1,100
"Kingston upon Hull, City of",Reach PLC,2,2,100
Eastbourne,National World,3,3,100
